n	x	y	T(x,y)	Erro_Absoluto
19	0.4444	0.6667	72.3951	1.259259
19	0.4444	1.0000	71.5802	1.259259
19	0.4444	1.3333	70.3210	1.259259
19	0.4444	1.6667	68.6173	1.259259
19	0.4444	2.0000	66.4691	1.259259
19	0.4444	2.3333	63.8765	1.259259
19	0.4444	2.6667	60.8395	1.259259
19	0.4444	3.0000	57.3580	1.259259
19	0.4444	3.3333	53.4321	1.259259
19	0.4444	3.6667	49.0617	1.259259
19	0.4444	4.0000	44.2469	1.259259
19	0.4444	4.3333	38.9877	1.259259
19	0.4444	4.6667	33.2840	1.259259
19	0.4444	5.0000	27.1358	1.259259
19	0.4444	5.3333	20.5432	1.259259
19	0.4444	5.6667	13.5062	1.259259
19	0.4444	6.0000	6.0247	1.259259
19	0.8889	0.0000	72.9877	1.259259
19	0.8889	0.3333	73.3580	1.259259
19	0.8889	0.6667	73.2840	1.259259
19	0.8889	1.0000	72.7654	1.259259
19	0.8889	1.3333	71.8025	1.259259
19	0.8889	1.6667	70.3951	1.259259
19	0.8889	2.0000	68.5432	1.259259
19	0.8889	2.3333	66.2469	1.259259
19	0.8889	2.6667	63.5062	1.259259
19	0.8889	3.0000	60.3210	1.259259
19	0.8889	3.3333	56.6914	1.259259
19	0.8889	3.6667	52.6173	1.259259
19	0.8889	4.0000	48.0988	1.259259
19	0.8889	4.3333	43.1358	1.259259
19	0.8889	4.6667	37.7284	1.259259
19	0.8889	5.0000	31.8765	1.259259
19	0.8889	5.3333	25.5802	1.259259
19	0.8889	5.6667	18.8395	1.259259
19	0.8889	6.0000	11.6543	1.259259
19	1.3333	0.0000	72.8889	1.259259
19	1.3333	0.3333	73.5556	1.259259
19	1.3333	0.6667	73.7778	1.259259
19	1.3333	1.0000	73.5556	1.259259
19	1.3333	1.3333	72.8889	1.259259
19	1.3333	1.6667	71.7778	1.259259
19	1.3333	2.0000	70.2222	1.259259
19	1.3333	2.3333	68.2222	1.259259
19	1.3333	2.6667	65.7778	1.259259
19	1.3333	3.0000	62.8889	1.259259
19	1.3333	3.3333	59.5556	1.259259
19	1.3333	3.6667	55.7778	1.259259
19	1.3333	4.0000	51.5556	1.259259
19	1.3333	4.3333	46.8889	1.259259
19	1.3333	4.6667	41.7778	1.259259
19	1.3333	5.0000	36.2222	1.259259
19	1.3333	5.3333	30.2222	1.259259
19	1.3333	5.6667	23.7778	1.259259
19	1.3333	6.0000	16.8889	1.259259
19	1.7778	0.0000	72.3951	1.259259
19	1.7778	0.3333	73.3580	1.259259
19	1.7778	0.6667	73.8765	1.259259
19	1.7778	1.0000	73.9506	1.259259
19	1.7778	1.3333	73.5802	1.259259
19	1.7778	1.6667	72.7654	1.259259
19	1.7778	2.0000	71.5062	1.259259
19	1.7778	2.3333	69.8025	1.259259
19	1.7778	2.6667	67.6543	1.259259
19	1.7778	3.0000	65.0617	1.259259
19	1.7778	3.3333	62.0247	1.259259
19	1.7778	3.6667	58.5432	1.259259
19	1.7778	4.0000	54.6173	1.259259
19	1.7778	4.3333	50.2469	1.259259
19	1.7778	4.6667	45.4321	1.259259
19	1.7778	5.0000	40.1728	1.259259
